rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
450,xXx: Return of Xander Cage,2017,2010's,"44,898,413",13.0%,"301,219,864",87.0%,"346,118,277","85,000,000",407%,4.1,1:47:00,PG-13
451,Pocahontas,1995,1990's,"141,579,773",40.9%,"204,500,000",59.1%,"346,079,773","55,000,000",629%,6.3,1:21:00,G
452,How the Grinch Stole Christmas,2000,2000's,"260,715,005",75.4%,"85,108,027",24.6%,"345,823,032","123,000,000",281%,2.8,1:44:00,PG
453,Star Trek Beyond,2016,2010's,"158,848,340",46.2%,"184,623,476",53.8%,"343,471,816","185,000,000",186%,1.9,2:02:00,PG-13
454,Alvin and the Chipmunks: Chipwrecked,2011,2010's,"133,110,742",38.8%,"209,584,693",61.2%,"342,695,435","75,000,000",457%,4.6,1:27:00,G
455,Wanted,2008,2000's,"134,508,551",39.3%,"207,954,512",60.7%,"342,463,063","75,000,000",457%,4.6,1:50:00,R
456,The Flintstones,1994,1990's,"130,531,208",38.2%,"211,100,000",61.8%,"341,631,208","46,000,000",743%,7.4,1:31:00,PG
457,A Quiet Place,2018,2010's,"188,024,361",55.1%,"152,928,610",44.9%,"340,952,971","17,000,000",2006%,20.1,1:30:00,PG-13
458,Enchanted,2007,2000's,"127,807,262",37.5%,"212,680,600",62.5%,"340,487,862","85,000,000",401%,4.0,1:47:00,PG
459,Over the Hedge,2006,2000's,"155,019,340",45.6%,"184,776,550",54.4%,"339,795,890","80,000,000",425%,4.2,1:23:00,PG
460,300: Rise of an Empire,2014,2010's,"106,580,051",31.6%,"231,000,000",68.4%,"337,580,051","110,000,000",307%,3.1,1:42:00,R
461,Batman Forever,1995,1990's,"184,069,126",54.7%,"152,498,032",45.3%,"336,567,158","100,000,000",337%,3.4,2:01:00,PG-13
